Ticker,Date,Surprise,Year,Month,Day,Security,GICS Sector,GICS Sub Industry,Address of Headquarters,CIK
GIS,20160323,-12.33283804,2016,2,23,General Mills,Consumer Staples,Packaged Foods & Meats,Golden Valley; Minnesota,40704
GLW,20161025,-17.46031746,2016,9,25,Corning Inc.,Information Technology,Electronic Components,Corning; New York,24741
GM,20161025,39.35075218,2016,9,25,General Motors,Consumer Discretionary,Automobile Manufacturers,Detroit; Michigan,1467858
GOOGL,20161027,-1.346494214,2016,9,27,Alphabet Inc Class A,Information Technology,Internet Software & Services,Mountain View; California,1652044
GPS,20151119,-15.27777778,2015,10,19,Gap (The),Consumer Discretionary,Apparel Retail,San Francisco; California,39911
GRMN,20161026,40.42553191,2016,9,26,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,Schaffhausen; Switzerland,1121788
GS,20161018,27.4151436,2016,9,18,Goldman Sachs Group,Financials,Investment Banking & Brokerage,New York; New York,886982
GWW,20161018,-2.555910543,2016,9,18,Grainger (W.W.) Inc.,Industrials,Industrial Materials,Lake Forest; Illinois,277135
HAL,20161019,-61.53846154,2016,9,19,Halliburton Co.,Energy,Oil & Gas Equipment & Services,Houston; Texas,45012
HAS,20161017,497.0588235,2016,9,17,Hasbro Inc.,Consumer Discretionary,Leisure Products,Pawtucket; Rhode Island,46080
HBAN,20161026,-49.7716895,2016,9,26,Huntington Bancshares,Financials,Regional Banks,Columbus; Ohio,49196
HBI,20161027,41.95583596,2016,9,27,Hanesbrands Inc,Consumer Discretionary,Apparel; Accessories & Luxury Goods,Winston-Salem; North Carolina,1359841
HCA,20161027,-9.812819058,2016,9,27,HCA Holdings,Health Care,Health Care Facilities,Nashville; Tennessee,860730
HCN,20161102,74.48405253,2016,10,2,Welltower Inc.,Real Estate,Health Care REITs,Toledo; Ohio,766704
HCP,20161101,-17.94871795,2016,10,1,HCP Inc.,Real Estate,Health Care REITs,Long Beach; California,765880
HD,20151117,-11.76470588,2015,10,17,Home Depot,Consumer Discretionary,Home Improvement Retail,Atlanta; Georgia,354950
HES,20161026,38.61386139,2016,9,26,Hess Corporation,Energy,Integrated Oil & Gas,New York; New York,4447
HIG,20161027,6.666666667,2016,9,27,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,Hartford; Connecticut,874766
